,Title,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Revenue,Box Office,Budget,TMDb Score,IMDb,Rotten Tomatoes,Metascore,Awards,Release Year,Release Month
81,Spider-Man: Far from Home,Action,Adventure,Science Fiction,,,,1131927996,390532085,160000000,7.5,7.5,90.0,69.0,10 wins & 25 nominations.,2019,6
82,Captain Marvel,Action,Adventure,Science Fiction,,,,1128276090,426829839,152000000,7.0,6.9,79.0,64.0,8 wins & 52 nominations.,2019,3
83,Joker,Crime,Thriller,Drama,,,,1074251311,335451311,55000000,8.2,8.4,68.0,59.0,Won 2 Oscars. Another 116 wins & 235 nominations.,2019,10
84,Star Wars: The Rise of Skywalker,Action,Adventure,Science Fiction,,,,1074144248,515202542,250000000,6.5,6.6,51.0,53.0,Nominated for 3 Oscars. Another 9 wins & 52 nominations.,2019,12
85,Toy Story 4,Adventure,Animation,Comedy,Family,Fantasy,Drama,1073394593,434038008,175000000,7.6,7.8,97.0,84.0,Won 1 Oscar. Another 55 wins & 62 nominations.,2019,6
86,Aladdin,Adventure,Fantasy,Romance,Family,,,1047612394,355559216,183000000,7.1,6.9,57.0,53.0,8 wins & 38 nominations.,2019,5
87,Jumanji: The Next Level,Adventure,Comedy,Fantasy,,,,796575993,320314960,125000000,7.0,6.6,71.0,58.0,1 win & 10 nominations.,2019,12
88,Ne Zha,Animation,Fantasy,Adventure,,,,686067000,3695533,0,8.0,7.5,88.0,54.0,20 wins & 23 nominations.,2019,7
89,How to Train Your Dragon: The Hidden World,Animation,Family,Adventure,,,,517526875,160799505,129000000,7.8,7.5,90.0,71.0,Nominated for 1 Oscar. Another 5 wins & 63 nominations.,2019,1
90,Maleficent: Mistress of Evil,Family,Fantasy,Adventure,,,,491570967,113929605,185000000,7.4,6.6,39.0,43.0,Nominated for 1 Oscar. Another 1 win & 10 nominations.,2019,10
91,It Chapter Two,Horror,Fantasy,,,,,473093228,211593228,79000000,6.9,6.5,62.0,58.0,5 wins & 30 nominations.,2019,9
92,Pokémon Detective Pikachu,Action,Adventure,Fantasy,,,,433005346,144105346,150000000,7.0,6.6,67.0,53.0,9 nominations.,2019,5
93,Alita: Battle Angel,Action,Science Fiction,Adventure,,,,404852543,85838210,170000000,7.2,7.3,61.0,53.0,10 wins & 24 nominations.,2019,1
94,Godzilla: King of the Monsters,Science Fiction,Action,,,,,386600138,110500138,170000000,6.7,6.0,42.0,48.0,6 wins & 14 nominations.,2019,5
95,1917,War,Drama,Action,Thriller,,,374733942,159227644,100000000,7.9,8.3,89.0,78.0,Won 3 Oscars. Another 128 wins & 200 nominations.,2019,12
