,Title,ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
30,Moana,277834,11/23/16,7.6,9414,571006128,4000000,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",2016,11,Drama,Romance,Thriller,,
31,Doctor Strange,284052,10/25/16,7.4,16813,543514353,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']","[10749, 14, 10751, 18]","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2016,10,Romance,Fantasy,Family,Drama,
32,Sing,335797,11/23/16,7.1,5972,532950503,135000000,"['Western', 'Drama', 'Adventure']","[37, 18, 12]","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac-Dune Entertainment']",2016,11,Western,Drama,Adventure,,
33,The Mermaid,381890,2/8/16,6.2,197,519311965,130000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Marvel Studios'],2016,2,Science Fiction,Action,Adventure,,
34,X-Men: Apocalypse,246655,5/18/16,6.5,10393,473990832,110000000,"['Action', 'Drama', 'Thriller']","[28, 18, 53]","['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",2016,5,Action,Drama,Thriller,,
35,Kung Fu Panda 3,140300,1/23/16,6.8,4130,473226958,80000000,"['Family', 'Animation', 'Comedy', 'Fantasy']","[10751, 16, 35, 14]","['Sony Pictures', 'Columbia Pictures', 'Sony Pictures Animation']",2016,1,Family,Animation,Comedy,Fantasy,
36,La La Land,313369,11/29/16,7.9,13183,440603537,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","[878, 28, 53, 12]","['Skydance Media', 'Paramount']",2016,11,Science Fiction,Action,Thriller,Adventure,
37,Warcraft,68735,5/25/16,6.3,5229,378858340,150000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'Village Roadshow Pictures']",2016,5,Action,Adventure,Science Fiction,,
38,Jason Bourne,324668,7/27/16,6.3,4473,368871007,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']","[14, 35, 16, 878, 10751]",['DreamWorks Animation'],2016,7,Fantasy,Comedy,Animation,Science Fiction,Family
39,Ice Age: Collision Course,278154,6/23/16,6,3366,332207671,175000000,"['Adventure', 'Animation', 'Family']","[12, 16, 10751]",['Pixar'],2016,6,Adventure,Animation,Family,,
40,Star Wars: The Last Jedi,181808,12/13/17,6.9,11844,2068223624,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","['Lucasfilm Ltd.', 'Bad Robot']",2017,12,Action,Adventure,Science Fiction,Fantasy,
41,Beauty and the Beast,321612,3/16/17,7,13363,1671713208,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","[28, 12, 878, 53]","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'DENTSU', 'The Kennedy/Marshall Company']",2017,3,Action,Adventure,Science Fiction,Thriller,
42,The Fate of the Furious,337339,4/12/17,6.9,8162,1515047671,190000000,"['Action', 'Thriller']","[28, 53]","['Abu Dhabi Film Commission', 'Universal Pictures', 'China Film Co.', 'Original Film', 'Fuji Television Network', 'Québec Production Services Tax Credit', 'Colorado Office of Film, Television & Media', 'DENTSU', 'MRC', 'One Race']",2017,4,Action,Thriller,,,
43,Despicable Me 3,324852,6/15/17,6.4,5467,1405403694,250000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2017,6,Action,Adventure,Science Fiction,,
44,Jumanji: Welcome to the Jungle,353486,12/9/17,6.8,10586,1156730962,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']","[10751, 16, 12, 35]","['Illumination Entertainment', 'Universal Pictures']",2017,12,Family,Animation,Adventure,Comedy,
45,Spider-Man: Homecoming,315635,7/5/17,7.4,16033,880674609,245000000,"['Action', 'Adventure', 'Thriller']","[28, 12, 53]","['Danjaq', 'B24', 'Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Eon Productions', 'Sony Pictures']",2017,7,Action,Adventure,Thriller,,
46,Wolf Warrior 2,452557,7/27/17,6.6,158,857611174,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","[16, 10751, 12, 18, 35]","['Pixar', 'Walt Disney Pictures']",2017,7,Animation,Family,Adventure,Drama,Comedy
47,Guardians of the Galaxy Vol. 2,283995,4/19/17,7.6,16452,682330139,150000000,"['Action', 'Adventure']","[28, 12]","['Paramount', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin', 'Skydance Media']",2017,4,Action,Adventure,,,
48,Thor: Ragnarok,284053,10/25/17,7.6,15755,653428261,160000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Lionsgate', 'Color Force', 'Studio Babelsberg']",2017,10,Action,Adventure,Science Fiction,,
49,Wonder Woman,297762,5/30/17,7.3,16374,630161890,108000000,"['Drama', 'Adventure', 'Science Fiction']","[18, 12, 878]","['Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films', '20th Century Fox']",2017,5,Drama,Adventure,Science Fiction,,
50,Coco,354912,10/27/17,8.2,13775,571006128,4000000,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",2017,10,Drama,Romance,Thriller,,
51,Pirates of the Caribbean: Dead Men Tell No Tales,166426,5/23/17,6.6,9156,543514353,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']","[10749, 14, 10751, 18]","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2017,5,Romance,Fantasy,Family,Drama,
52,It,346364,9/6/17,7.2,15084,532950503,135000000,"['Western', 'Drama', 'Adventure']","[37, 18, 12]","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac-Dune Entertainment']",2017,9,Western,Drama,Adventure,,
53,Justice League,141052,11/15/17,6.2,10458,519311965,130000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Marvel Studios'],2017,11,Science Fiction,Action,Adventure,,
54,Logan,263115,2/28/17,7.8,15577,473990832,110000000,"['Action', 'Drama', 'Thriller']","[28, 18, 53]","['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",2017,2,Action,Drama,Thriller,,
55,Transformers: The Last Knight,335988,6/16/17,6,4415,473226958,80000000,"['Family', 'Animation', 'Comedy', 'Fantasy']","[10751, 16, 35, 14]","['Sony Pictures', 'Columbia Pictures', 'Sony Pictures Animation']",2017,6,Family,Animation,Comedy,Fantasy,
56,Kong: Skull Island,293167,3/8/17,6.5,8130,440603537,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","[878, 28, 53, 12]","['Skydance Media', 'Paramount']",2017,3,Science Fiction,Action,Thriller,Adventure,
57,Dunkirk,374720,7/19/17,7.5,12738,378858340,150000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'Village Roadshow Pictures']",2017,7,Action,Adventure,Science Fiction,,
58,The Boss Baby,295693,3/23/17,6.5,5723,368871007,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']","[14, 35, 16, 878, 10751]",['DreamWorks Animation'],2017,3,Fantasy,Comedy,Animation,Science Fiction,Family
